Mothly,MD,DDP,SDP,GG,NS,ISD,Museum,ITW,HD,GN
JAN,81.5,62.9,27.5,36.1,35.5,20.4,18.5,20.8,32.4,23
FEB,83.7,56,26.5,37.7,37.6,21.2,19.3,17.5,32,22.9
MAR,80,59.8,33.7,37.2,37.9,31.6,20.2,24.7,33.4,27.5
APR,76.7,55.5,35.7,43.1,42.9,28.5,24.3,24.6,29.8,28.1
MAY,75.7,53.9,32.4,41.4,39.8,27.3,21.8,21.5,27.6,29.7
JUN,78.7,60.4,32.2,44.1,41.4,26.2,27.6,24.8,33,30.6
JUL,74.8,55.9,30,38.8,32.5,27.3,23.1,24.8,31.5,31.4
AUG,77.1,54.6,31.6,35,34.2,22.5,19.9,22.2,32,32.3
SEP,76.1,52.1,28.7,37.2,34.8,22.4,18.4,19.4,28.4,30.7
OCT,75.4,54.3,31.2,42.6,35.3,23.6,23,22.7,27,26.8
NOV,76.9,53.7,30.6,36.5,34,20.3,16.9,20.2,32.2,28.6
DEC,82,62.1,36.1,39,34.3,26,22.8,26.4,35,29.4